bird_sp,bird_family,bird_size_beh,bird_common
Chloris_chloris,Fringillidae,Predators,Chloris chloris
Cyanistes_caeruleus,Paridae,Pulp-peckers,Other small
Erithacus_rubecula,Muscicapidae,Small - Muscicapidae,Erithacus rubecula
Hippolais_polyglotta,Acrocephalidae,Small - Muscicapidae,Other small
Luscinia_megarhynchos,Muscicapidae,Small - Muscicapidae,Other small
Phoenicurus_phoenicurus,Muscicapidae,Small - Muscicapidae,Phoenicurus phoenicurus
Sylvia_communis,Sylviidae,Small - Sylviidae,Sylviidae
Sylvia_melanocephala,Sylviidae,Small - Sylviidae,Sylvia melanocephala
Sylvia_undata,Sylviidae,Small - Sylviidae,Sylviidae
Turdus_merula,Turdidae,Medium,Turdus merula
Turdus_philomelos,Turdidae,Medium,Medium-big
Cyanopica_cooki,Corvidae,Big,Cyanopica cooki
Fringilla_coelebs,Fringillidae,Predators,Other predators
Parus_major,Paridae,Pulp-peckers,Other small
Saxicola_rubicola,Muscicapidae,Small - Muscicapidae,Other small
Sylvia_atricapilla,Sylviidae,Small - Sylviidae,Sylvia atricapilla
Sylvia_hortensis,Sylviidae,Small - Sylviidae,Sylviidae
Turdus_viscivorus,Turdidae,Medium,Medium-big
Ficedula_hypoleuca,Muscicapidae,Small - Muscicapidae,Other small
Sturnus_unicolor,Sturnidae,Medium,Medium-big
Sylvia_borin,Sylviidae,Small - Sylviidae,Sylviidae
Columba_palumbus,Columbidae,Big,Medium-big
Pyrrhula_pyrrhula,Fringillidae,Predators,Other predators
Lanius_meridionalis,Laniidae,Big,Medium-big
Muscicapa_striata,Muscicapidae,Small - Muscicapidae,Other small
Sylvia_cantillans,Sylviidae,Small - Sylviidae,Sylviidae
Coccothraustes_coccothraustes,Fringillidae,Predators,Other predators
Alectoris_rufa,Phasianidae,Big,Medium-big
