# DATASET FOR CROP CALCULATIONS. FRUITING SEASON 2019-20;;;
# plant_id: plant name. Plants 328, 333 and 377 are missing, they were not monitored during the this second season (2019-20);;;
# initcrop: initial crop corrected;;;
# canopy_area: area occupied by the plant cannopy measured with Google Earth in m2;;;
# plot: Puntal or Madro–as.;;;
plant_id;initcrop;canopy_area;plot
301;14325;17.9901208;puntal
302;19750;33.3981037;puntal
303;20925;61.5679244;puntal
304;54850;27.2979936;puntal
305;18540;14.4335215;puntal
306;31837;62.2582729;puntal
307;3720;31.2591675;puntal
308;13030;27.8674941;puntal
309;12726;12.1751954;puntal
310;21650;18.9113297;puntal
311;6190;16.9987198;puntal
312;3475;9.60184618;puntal
313;19105;12.81797;puntal
314;30140;66.2048092;puntal
315;48900;55.6856814;puntal
316;30380;27.4209334;puntal
317;43860;20.1895553;puntal
318;52675;26.5958152;puntal
319;13560;15.6795845;puntal
320;18100;26.2834301;puntal
321;118650;53.5210097;puntal
322;8275;16.8392804;puntal
323;13884;12.5062279;puntal
324;17000;27.4833383;puntal
325;5250;12.9348548;puntal
326;35070;23.5715905;puntal
327;15500;39.036049;puntal
329;20179;21.5513335;puntal
330;8400;12.7103945;puntal
331;18195;12.8887955;puntal
332;28775;43.8367571;puntal
334;19245;17.2364899;puntal
335;4690;29.5386678;puntal
336;18600;29.6982131;puntal
337;46110;26.9324054;puntal
338;54880;42.1191079;puntal
339;4135;23.7386056;puntal
340;23998;32.5426275;puntal
341;32525;NA;madronas
342;2815;NA;madronas
343;2380;NA;madronas
344;9540;NA;madronas
345;994;NA;madronas
346;6700;NA;madronas
347;609;NA;madronas
348;20160;NA;madronas
349;5988;NA;madronas
350;14500;NA;madronas
351;4171;NA;madronas
352;10570;NA;madronas
353;3270;NA;madronas
354;25604;NA;madronas
355;2223;NA;madronas
356;608;NA;madronas
357;485;NA;madronas
358;3097;NA;madronas
359;2190;NA;madronas
360;2830;NA;madronas
361;2620;NA;madronas
362;733;NA;madronas
363;64950;NA;madronas
364;12845;NA;madronas
365;20378;NA;madronas
366;3220;NA;madronas
367;48540;NA;madronas
368;3745;NA;madronas
369;1127;NA;madronas
370;3470;NA;madronas
371;1988;NA;madronas
372;952;NA;madronas
373;244;NA;madronas
374;2600;NA;madronas
375;550;NA;madronas
376;2150;NA;madronas
378;485;NA;madronas
379;17950;NA;madronas
380;11890;NA;madronas
381;3970;NA;madronas
382;11920;10.1114591;puntal
383;13125;19.9920911;puntal
