"","site","year","id_plant","total.fruits","fresh_fruits","dry_fruits","black_v","black_u","red_v","red_u","abort","partheno","wasp","wasp_ref","wasp.p","viab.p","abort.p","partheno.p","black_v_p","black_u_p","red_v_p","red_u_p","black","red","viab","non.viab"
"1","madronas","2019-20","341",379,379,0,140,0,224,15,9,6,0,379,0,0.96042216358839,0.0237467018469657,0.0158311345646438,0.369393139841689,0,0.591029023746702,0.0395778364116095,140,239,364,15
"2","madronas","2019-20","342",85,79,6,1,8,6,64,4,26,10,79,0.126582278481013,0.0886075949367089,0.10464135021097,0.680168776371308,0.0126582278481013,0.10126582278481,0.0759493670886076,0.810126582278481,9,70,7,72
"3","madronas","2019-20","343",295,288,7,37,8,53,190,24,17,17,288,0.0590277777777778,0.3125,0.367886178861789,0.260586043360434,0.128472222222222,0.0277777777777778,0.184027777777778,0.659722222222222,45,243,90,198
"4","madronas","2019-20","344",89,56,33,19,7,10,20,5,15,4,56,0.0714285714285714,0.517857142857143,0.102678571428571,0.308035714285714,0.339285714285714,0.125,0.178571428571429,0.357142857142857,26,30,29,27
"5","madronas","2019-20","345",69,45,24,10,6,2,27,18,8,5,45,0.111111111111111,0.266666666666667,0.430769230769231,0.191452991452991,0.222222222222222,0.133333333333333,0.0444444444444444,0.6,16,29,12,33
"6","madronas","2019-20","346",41,38,3,4,1,2,31,16,4,0,38,0,0.157894736842105,0.673684210526316,0.168421052631579,0.105263157894737,0.0263157894736842,0.0526315789473684,0.815789473684211,5,33,6,32
"7","madronas","2019-20","347",75,72,3,0,8,9,55,10,15,0,72,0,0.125,0.35,0.525,0,0.111111111111111,0.125,0.763888888888889,8,64,9,63
"8","madronas","2019-20","348",675,503,172,39,0,101,363,28,12,0,503,0,0.278330019880716,0.505168986083499,0.216500994035785,0.0775347912524851,0,0.200795228628231,0.721669980119284,39,464,140,363
"9","madronas","2019-20","349",82,40,42,7,1,9,23,10,5,1,82,0.0121951219512195,0.4,0.391869918699187,0.195934959349593,0.175,0.025,0.225,0.575,8,32,16,24
"10","madronas","2019-20","350",315,309,6,45,7,114,143,21,18,1,309,0.00323624595469256,0.514563106796116,0.259646502364949,0.222554144884242,0.145631067961165,0.0226537216828479,0.368932038834951,0.462783171521036,52,257,159,150
"11","madronas","2019-20","351",178,117,61,40,0,34,43,35,1,7,117,0.0598290598290598,0.632478632478632,0.299145299145299,0.00854700854700855,0.341880341880342,0,0.290598290598291,0.367521367521368,40,77,74,43
"12","madronas","2019-20","352",221,163,58,29,6,77,51,8,17,11,163,0.0674846625766871,0.650306748466258,0.0903067484662577,0.191901840490798,0.177914110429448,0.0368098159509202,0.47239263803681,0.312883435582822,35,128,106,57
"13","madronas","2019-20","353",198,105,93,4,8,21,72,22,8,8,198,0.0404040404040404,0.238095238095238,0.529100529100529,0.192400192400192,0.0380952380952381,0.0761904761904762,0.2,0.685714285714286,12,93,25,80
"14","madronas","2019-20","354",286,266,20,29,0,147,90,27,13,10,266,0.037593984962406,0.661654135338346,0.203007518796993,0.0977443609022557,0.109022556390977,0,0.552631578947368,0.338345864661654,29,237,176,90
"15","madronas","2019-20","355",107,107,0,1,0,30,76,22,17,0,107,0,0.289719626168224,0.400670980110232,0.309609393721543,0.00934579439252336,0,0.280373831775701,0.710280373831776,1,106,31,76
"16","madronas","2019-20","356",63,56,7,10,0,13,33,28,5,0,56,0,0.410714285714286,0.5,0.0892857142857143,0.178571428571429,0,0.232142857142857,0.589285714285714,10,46,23,33
"17","madronas","2019-20","357",62,12,50,1,0,3,8,27,10,1,12,0.0833333333333333,0.333333333333333,0.425675675675676,0.157657657657658,0.0833333333333333,0,0.25,0.666666666666667,1,11,4,8
"18","madronas","2019-20","358",85,52,33,0,8,0,44,21,4,0,52,0,0,0.84,0.16,0,0.153846153846154,0,0.846153846153846,8,44,0,52
