mh_id,bird_sp,seed_sp1,site,mh,sample_effort,n_seeds,n_seed_m2,sp_under,X_coord,Y_coord,length
301,Erithacus rubecula,asparagus,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.4464353,36.9660322,NA
301,Erithacus rubecula,pistacia,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.4464353,36.9660322,NA
301,Sylvia melanocephala,asparagus,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4464353,36.9660322,NA
301,Sylvia melanocephala,pistacia,Puntal,PL,0.22,13,59.09090909090909,Pistacia lentiscus,-6.4464353,36.9660322,NA
301,Sylvia melanocephala,rubus,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.4464353,36.9660322,NA
301,Turdus merula,pistacia,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.4464353,36.9660322,NA
301,NA,pistacia,Puntal,PL,0.22,5,22.727272727272727,Pistacia lentiscus,-6.4464353,36.9660322,NA
302,Chloris chloris,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4466999,36.9661981,NA
302,Erithacus rubecula,pistacia,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.4466999,36.9661981,NA
302,Luscinia megarhynchos,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4466999,36.9661981,NA
302,Sylvia atricapilla,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4466999,36.9661981,NA
302,Sylvia melanocephala,phillyrea,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4466999,36.9661981,NA
302,Sylvia melanocephala,pistacia,Puntal,PL,0.22,6,27.272727272727273,Pistacia lentiscus,-6.4466999,36.9661981,NA
302,NA,pistacia,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.4466999,36.9661981,NA
303,Erithacus rubecula,pistacia,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.4457887,36.9657444,NA
303,Erithacus rubecula,smilax,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.4457887,36.9657444,NA
303,Sylvia communis,asparagus,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4457887,36.9657444,NA
303,Sylvia melanocephala,asparagus,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4457887,36.9657444,NA
303,NA,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4457887,36.9657444,NA
304,Chloris chloris,pistacia,Puntal,PL,0.44,7,15.909090909090908,Pistacia lentiscus,-6.4457236,36.9655828,NA
304,Cyanopica cooki,asparagus,Puntal,PL,0.44,1,2.272727272727273,Pistacia lentiscus,-6.4457236,36.9655828,NA
304,Erithacus rubecula,asparagus,Puntal,PL,0.44,3,6.818181818181818,Pistacia lentiscus,-6.4457236,36.9655828,NA
304,Erithacus rubecula,pistacia,Puntal,PL,0.44,21,47.72727272727273,Pistacia lentiscus,-6.4457236,36.9655828,NA
304,Phoenicurus phoenicurus,phillyrea,Puntal,PL,0.44,1,2.272727272727273,Pistacia lentiscus,-6.4457236,36.9655828,NA
304,Phoenicurus phoenicurus,pistacia,Puntal,PL,0.44,1,2.272727272727273,Pistacia lentiscus,-6.4457236,36.9655828,NA
304,Sturnus unicolor,pistacia,Puntal,PL,0.44,4,9.090909090909092,Pistacia lentiscus,-6.4457236,36.9655828,NA
