mh_id,bird_sp,site,mh,sample_effort,n_seeds,n_seed_m2,sp_under,X_coord,Y_coord,length
301,Erithacus rubecula,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.4464353,36.9660322,NA
301,Sylvia melanocephala,Puntal,PL,0.22,13,59.09090909090909,Pistacia lentiscus,-6.4464353,36.9660322,NA
301,Turdus merula,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.4464353,36.9660322,NA
301,NA,Puntal,PL,0.22,5,22.727272727272727,Pistacia lentiscus,-6.4464353,36.9660322,NA
302,Chloris chloris,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4466999,36.9661981,NA
302,Erithacus rubecula,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.4466999,36.9661981,NA
302,Luscinia megarhynchos,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4466999,36.9661981,NA
302,Sylvia atricapilla,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4466999,36.9661981,NA
302,Sylvia melanocephala,Puntal,PL,0.22,6,27.272727272727273,Pistacia lentiscus,-6.4466999,36.9661981,NA
302,NA,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.4466999,36.9661981,NA
303,Erithacus rubecula,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.4457887,36.9657444,NA
303,NA,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4457887,36.9657444,NA
304,Chloris chloris,Puntal,PL,0.44,7,15.909090909090908,Pistacia lentiscus,-6.4457236,36.9655828,NA
304,Erithacus rubecula,Puntal,PL,0.44,21,47.72727272727273,Pistacia lentiscus,-6.4457236,36.9655828,NA
304,Phoenicurus phoenicurus,Puntal,PL,0.44,1,2.272727272727273,Pistacia lentiscus,-6.4457236,36.9655828,NA
304,Sturnus unicolor,Puntal,PL,0.44,4,9.090909090909092,Pistacia lentiscus,-6.4457236,36.9655828,NA
304,Sylvia hortensis,Puntal,PL,0.44,2,4.545454545454546,Pistacia lentiscus,-6.4457236,36.9655828,NA
304,Sylvia melanocephala,Puntal,PL,0.44,20,45.45454545454545,Pistacia lentiscus,-6.4457236,36.9655828,NA
304,Sylvia undata,Puntal,PL,0.44,2,4.545454545454546,Pistacia lentiscus,-6.4457236,36.9655828,NA
304,Turdus merula,Puntal,PL,0.44,24,54.54545454545455,Pistacia lentiscus,-6.4457236,36.9655828,NA
304,NA,Puntal,PL,0.44,1,2.272727272727273,Pistacia lentiscus,-6.4457236,36.9655828,NA
305,Chloris chloris,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4455794,36.9656368,NA
305,Erithacus rubecula,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4455794,36.9656368,NA
305,Sylvia melanocephala,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.4455794,36.9656368,NA
306,Chloris chloris,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4452676,36.9656848,NA
306,Cyanopica cooki,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4452676,36.9656848,NA
306,Erithacus rubecula,Puntal,PL,0.22,12,54.54545454545455,Pistacia lentiscus,-6.4452676,36.9656848,NA
306,Sylvia melanocephala,Puntal,PL,0.22,5,22.727272727272727,Pistacia lentiscus,-6.4452676,36.9656848,NA
306,NA,Puntal,PL,0.22,7,31.818181818181817,Pistacia lentiscus,-6.4452676,36.9656848,NA
307,Chloris chloris,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4454177,36.9658618,NA
307,Erithacus rubecula,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4454177,36.9658618,NA
307,Sylvia melanocephala,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4454177,36.9658618,NA
307,NA,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4454177,36.9658618,NA
308,Chloris chloris,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4453657,36.9657131,NA
308,Erithacus rubecula,Puntal,PL,0.22,27,122.72727272727273,Pistacia lentiscus,-6.4453657,36.9657131,NA
308,Sylvia melanocephala,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4453657,36.9657131,NA
