bird_sp,q0,q1,q2,q3
Erithacus rubecula,82,58.230948635836846,43.05922798570866,32.07640768550588
Sylvia melanocephala,85,52.2249988347808,39.83408455638237,33.742162923619205
Turdus merula,32,13.456952036473984,10.510445684190422,9.176861663715968
Chloris chloris,18,13.216545396511297,10.376470588235296,8.95443008693564
Luscinia megarhynchos,3,2.6392958366038712,2.4708209121613254,2.3924108558049006
Sylvia atricapilla,28,21.33219907875651,17.43801281317452,15.249573422731313
Phoenicurus phoenicurus,18,11.961628400361606,9.060593019927008,7.52696197673891
Sturnus unicolor,11,5.8553110573750615,4.082097507664856,3.5365400658611814
Sylvia hortensis,7,6.327556150923966,5.709428366159008,5.196593515296522
Sylvia undata,23,19.44720037733987,17.345469744887414,15.90875227737808
Cyanopica cooki,7,4.207896235220479,3.443592840800707,3.1079064626342694
Sylvia borin,1,1,1,1
Sylvia communis,13,11.055633373114244,9.940966079957544,9.166661370991845
Saxicola rubicola,4,3.3129064070368104,2.9567866098487765,2.7873472188936734
Pyrrhula pyrrhula,1,1,1,1
Fringilla coelebs,2,1.6642250640774394,1.4876145395231322,1.402584251490073
Ficedula hypoleuca,3,2.6392958366038712,2.4708209121613254,2.3924108558049006
Sylvia cantillans,4,3.6302014761331907,3.4649757042429914,3.3888981515314827
Turdus philomelos,3,2.0059279590807892,2.0014372769683035,2.0010782484159035
Muscicapa striata,1,1,1,1
