site,year,collection,round,plant_id,total_fruits,fresh_fruits,red,black,dry,r_float,r_sink,b_float,b_sink,wasp,abort,partheno,wasp_dry,term,viab.p,unviab.p,wasp.p,abort.p,partheno.p,viab.se,unviab.se
puntal,2018-19,2018-19 early,1,301,234,232,221,11,2,197,24,1,10,1,28,9,NA,early,0.14655172413793102,0.853448275862069,0.004310344827586207,0.6425908667287978,0.206547064305685,0.023218816341171365,0.02321881634117137
puntal,2019-20,2019-20 early,1,301,254,243,237,6,11,123,114,1,5,0,25,15,NA,early,0.4897119341563786,0.5102880658436214,0,0.31893004115226337,0.19135802469135804,0.03206822432121926,0.03206822432121926
puntal,2019-20,2019-20 mid,2,301,443,436,322,114,7,253,69,4,110,10,29,11,NA,mid,0.4105504587155963,0.5894495412844036,0.022935779816513763,0.41072247706422016,0.15579128440366974,0.023559352121705675,0.02355935212170568
puntal,2019-20,2019-20 late,3,301,156,80,37,43,76,36,1,34,9,11,12,1,NA,late,0.125,0.875,0.1375,0.6807692307692308,0.05673076923076924,0.0369754986443726,0.0369754986443726
puntal,2018-19,2018-19 early,1,302,256,248,242,6,8,193,49,1,5,0,25,16,NA,early,0.21774193548387097,0.782258064516129,0,0.4769866247049567,0.30527143981117233,0.026207175899194586,0.026207175899194586
puntal,2019-20,2019-20 early,1,302,338,308,263,45,30,175,88,0,45,17,25,15,NA,early,0.4318181818181818,0.5681818181818182,0.05519480519480519,0.32061688311688313,0.19237012987012986,0.028224013428136477,0.028224013428136477
puntal,2019-20,2019-20 mid,2,302,92,75,68,7,17,51,17,4,3,0,19,6,NA,mid,0.26666666666666666,0.7333333333333333,0,0.5573333333333333,0.176,0.05106277908033804,0.05106277908033804
puntal,2019-20,2019-20 late,3,302,61,22,6,16,39,6,0,16,0,2,13,2,NA,late,0,1,0.09090909090909091,0.7878787878787878,0.1212121212121212,0,0
puntal,2019-20,2019-20 early,1,303,490,423,390,33,67,309,81,6,27,36,25,15,NA,early,0.2553191489361702,0.7446808510638298,0.0851063829787234,0.41223404255319146,0.24734042553191488,0.02120101257242611,0.02120101257242611
puntal,2019-20,2019-20 mid,2,303,230,216,201,15,14,118,83,0,15,5,16,24,NA,mid,0.4537037037037037,0.5462962962962963,0.023148148148148147,0.20925925925925926,0.3138888888888889,0.03387454065215727,0.03387454065215727
puntal,2019-20,2019-20 late,3,303,32,30,25,5,2,18,7,0,5,0,NA,NA,NA,late,0.4,0.6,0,NA,NA,0.08944271909999159,0.08944271909999159
puntal,2018-19,2018-19 early,1,304,224,220,197,23,4,175,22,11,12,0,34,10,NA,early,0.15454545454545454,0.8454545454545455,0,0.653305785123967,0.1921487603305785,0.02437035802184074,0.02437035802184074
puntal,2019-20,2019-20 early,1,304,210,197,164,33,13,121,43,8,25,23,24,16,NA,early,0.34517766497461927,0.6548223350253807,0.116751269035533,0.3228426395939086,0.2152284263959391,0.03387271220867949,0.03387271220867949
puntal,2019-20,2019-20 mid,2,304,256,174,141,33,82,138,3,30,3,10,26,14,NA,mid,0.034482758620689655,0.9655172413793104,0.05747126436781609,0.5902298850574713,0.317816091954023,0.013832682018719894,0.013832682018719886
puntal,2019-20,2019-20 late,3,304,110,72,34,38,38,32,2,38,0,0,13,2,NA,late,0.027777777777777776,0.9722222222222222,0,0.8425925925925926,0.12962962962962962,0.01936713024384434,0.019367130243844344
